Country,NumericCode,Week/MonthNumber,Period,FirstName,LastName
GER,1372,20,M,Titus,Maclean
MEX,1498,17,M,Norman,Henderson
USA,1535,15,M,Elmira,Sommers
CAN,1290,12,W,Kelly,Mitchell
USA,1315,23,M,Minnie,Snyder
AUS,1566,14,W,Selina,Varela
ENG,1380,20,W,Lelia,Wentz
AUS,1037,13,M,Jaunita,Laird
GER,1522,12,M,Leona,Thompson
GER,1284,12,W,Regina,Hodges
AUS,1503,10,W,Clarence,Collins
AUS,1489,22,M,Marie,Barnes
USA,1181,22,M,Jennifer,Cox
CAN,1585,17,M,Virginia,Brooks
CAN,1416,19,W,Cecile,Veal
USA,1431,18,M,Harry,Clark
USA,1568,19,W,Rebecca,Gomez
GER,1472,24,W,Delilah,Eason
ARG,1003,11,W,Victor,Smith
JAP,1420,13,M,Marjory,Lovelace
AUS,1505,15,M,Matthew,Brown
JAP,1024,10,W,Audrey,Briggs
AUS,1138,26,W,Collin,Haskins
AUS,1556,16,W,Columbus,Fuqua
CAN,1153,20,M,Faye,Turner
ARG,1506,26,M,Tina,Carlson
JAP,1200,17,M,Laura,Edwards
GER,1422,14,W,Rolf,Schrader
GER,1388,20,W,Tiara,Pridgen
CAN,1190,10,W,Ed,Pena
MEX,1267,17,W,Ellan,Braswell
GER,1587,21,M,Garfield,Bigelow
USA,1549,12,M,Horace,Robertson
ARG,1131,14,W,Shawn,Allen
AUS,1340,11,W,Beaulah,Willard
GER,1561,19,M,Jose,Baker
MEX,1523,20,W,Elizabeth,Parker
CAN,1042,10,M,Carolyn,Anderson
AUS,1383,26,M,Edna,Harvey
ARG,1165,19,W,Jeanmarie,Haywood
JAP,1370,15,M,Maribeth,Kiser
JAP,1092,19,M,Elza,Devito
ENG,1059,24,M,Jarvis,Lund
JAP,1078,23,W,Debra,Butler
MEX,1479,15,M,Janell,Orozco
ARG,1453,18,W,Salvador,Copeland
MEX,1111,15,M,Dave,Sherman
JAP,1438,25,W,Philip,Bryant
USA,1301,15,M,Geraldine,Kelly
USA,1583,12,W,Madelaine,Moriarty
JAP,1277,18,W,Andrea,Murphy
AUS,1263,26,M,Sonny,Ragland
CAN,1345,12,M,Susan,Long
JAP,1110,15,M,Keneth,Roper
CAN,1212,19,M,Ronald,Carter
CAN,1377,11,W,Eric,Cooper
AUS,1493,24,W,Alethia,Law
JAP,1041,16,M,Adrian,Hughes
MEX,1300,14,M,Leo,Barber
CAN,1197,10,M,Janet,Jones
CAN,1486,17,W,Julie,Bennett
USA,1449,15,W,Lyle,Cummings
USA,1510,14,W,William,Gonzalez
ARG,1186,19,M,Harry,Sanchez
ARG,1439,22,M,Kathy,Green
USA,1194,11,W,Alayna,Wahl
CAN,1305,17,M,Henry,Davis
CAN,1169,24,W,Shelley,Price
USA,1205,17,M,Rose,Walker
GER,1424,16,M,Amy,Wood
USA,1407,20,W,Drew,Schofield
CAN,1323,24,W,Armando,Ballard
CAN,1183,18,W,Brain,Beckham
CAN,1145,19,M,Margaret,Bell
CAN,1158,16,M,Loretta,Daniels
CAN,1499,23,W,Frank,Gray
ARG,1174,10,M,Maryann,Reed
USA,1044,14,M,Jan,Henry
CAN,1209,10,W,Sharon,Richardson
AUS,1125,14,W,Rafael,Simon
JAP,1166,11,W,Joe,Ramirez
CAN,1573,17,M,Cornelius,Francis
ENG,1318,12,W,Crissy,Horn
MEX,1159,23,M,Dawna,Beals
JAP,1096,19,W,Wilma,Richardson
AUS,1348,19,W,Judy,Norris
JAP,1282,13,M,Joyce,White
AUS,1396,23,M,Carla,Patrick
AUS,1008,12,M,Karl,Fleming
MEX,1586,12,W,Brandon,Evans
USA,1302,12,W,Dianne,Salazar
JAP,1058,24,M,Gaynell,Mckeown
GER,1475,14,W,Cameron,Mccoy
GER,1468,10,M,Darrin,Cox
MEX,1056,15,W,Juliann,Simonson
ENG,1415,14,M,Douglas,Flores
AUS,1050,14,M,Margot,Olmstead
USA,1337,12,W,Allyson,Marlowe
GER,1467,21,M,Maria,Cook
USA,1542,26,M,Betty,Gonzales
USA,1358,21,W,Johanna,Peterson
USA,1246,22,W,Michelle,Clark
USA,1270,11,W,Albert,Hampton
ARG,1156,10,W,Cheryl,Kelly
GER,1470,20,M,Scott,Robinson
USA,1140,26,W,Emanuel,Craig
MEX,1576,18,M,Kathleen,Moss
ENG,1426,21,M,Laverne,Salazar
ARG,1066,13,M,Margaret,Doyle
ENG,1521,24,W,Rea,Irby
GER,1215,17,W,Shirley,Torres
USA,1077,26,M,Buster,Shively
ARG,1264,15,W,Deirdre,Lentz
CAN,1089,19,M,Lisha,Nunn
ENG,1062,12,M,Terica,Mayo
ARG,1516,23,M,Tynisha,Mckee
JAP,1104,13,W,Phil,Guerrero
USA,1285,12,M,Randy,Hall
ARG,1142,18,M,Lorenzo,Fowler
AUS,1223,24,W,Rachel,Reed
CAN,1252,24,W,Moises,Mcbee
GER,1170,11,M,Matthew,Hill
MEX,1192,12,M,Van,Mcguire
GER,1533,16,M,Tina,Howard
MEX,1353,12,M,Jane,Phillips
MEX,1574,17,M,Norma,Watson
ARG,1492,20,W,Judith,White
USA,1495,12,M,Aaron,Gray
JAP,1022,18,W,Rudy,Alvarez
CAN,1534,23,W,Sharonda,Farley
USA,1306,10,W,Maisha,Calvin
GER,1368,24,M,Bonnie,Abbott
GER,1029,13,M,Miranda,Young
ENG,1385,22,M,Thomas,Edwards
AUS,1216,18,W,Lee,Wright
ARG,1219,11,W,Lee,Wolfe
USA,1539,16,W,Dianna,Cox
GER,1151,17,M,Edna,Green
GER,1269,18,W,Frederick,Morton
USA,1373,22,M,Cynthia,Cole
MEX,1473,20,M,Lorena,Williams
GER,1304,24,M,Percy,Young
CAN,1296,17,M,Patricia,Perez
JAP,1518,26,W,Elizabeth,Neal
ARG,1496,15,M,Stuart,Lane
USA,1185,23,W,Adam,Vasquez
JAP,1458,12,W,Alisa,Corbett
ARG,1082,13,M,Enriqueta,Lopes
GER,1374,12,M,Kirk,Reese
MEX,1463,16,M,Jose,Green
AUS,1214,20,M,Rex,Howard
CAN,1038,20,M,Ronald,Cox
AUS,1434,23,W,Johnny,Simmons
GER,1291,15,W,Alessandra,Vogt
ENG,1343,16,W,Steven,Foster
GER,1469,22,W,Stephaine,Pacheco
USA,1048,18,M,Lory,Herrmann
CAN,1393,19,M,Simonne,Kemp
ARG,1217,18,W,Mui,Mcewen
GER,1014,12,W,Bobby,Stephens
GER,1053,25,W,Madalene,Moreland
ENG,1461,23,W,Heidi,Collins
GER,1342,10,W,Inez,Mcbride
GER,1258,11,W,Ed,Rowe
GER,1597,22,M,Yvonne,Nelson
CAN,1074,22,W,Billy,Lee
USA,1559,20,W,Jeffrey,Griffin
CAN,1127,20,M,Cora,Fletcher
ARG,1359,26,W,Sharon,Parker
USA,1009,20,M,Wanda,Wood
JAP,1152,23,W,Chantell,Forrest
USA,1312,14,M,Lavada,Satterfield
GER,1057,24,M,Christeen,Hardwick
CAN,1413,10,M,Dorla,Dupuis
MEX,1459,17,M,Lisabeth,Everett
JAP,1336,22,M,Patience,Lindsay
JAP,1064,19,M,Jennette,Mcnamara
JAP,1511,24,M,Tanya,Cummings
USA,1001,10,W,Alan,Patterson
JAP,1417,25,M,Venessa,Bean
USA,1478,14,M,Jessie,Spencer
MEX,1321,15,M,Sung,Pippin
ENG,1567,24,M,Scott,Phillips
AUS,1319,15,W,Charles,Perry
MEX,1002,14,W,Waldo,Dempsey
GER,1328,25,W,William,Wong
USA,1596,12,M,George,Hughes
USA,1229,21,M,Martin,Sanders
MEX,1095,15,M,Vincent,Harris
USA,1335,22,M,Tawnya,Goodrich
MEX,1508,12,M,Marcella,West
ENG,1134,24,W,Brian,Cooper
AUS,1201,14,W,Allen,Hicks
USA,1356,24,M,Antonetta,Gilchrist
AUS,1167,16,W,Luciana,Andrus
CAN,1085,21,W,Eula,Jensen
GER,1019,24,W,Svetlana,Manuel
ARG,1299,19,M,Domenic,Wayne
AUS,1387,13,M,Teresa,Harris
GER,1471,21,M,Jon,Rodriguez
AUS,1477,24,M,Derick,Laird
AUS,1351,18,W,Ashley,Alexander
ENG,1563,11,M,Janise,Denning
AUS,1528,21,M,Larry,Richardson
GER,1519,10,W,Joanne,Stevens
USA,1543,20,W,Deandre,Conaway
USA,1247,19,W,Angela,Perez
ENG,1401,26,M,Latina,Hyman
JAP,1007,18,M,Venus,Ripley
JAP,1083,21,M,Katrina,Douglas
AUS,1450,13,M,Carmine,Toler
ARG,1398,18,M,Lindsy,Haskins
ENG,1515,22,W,Ruby,Perez
MEX,1213,10,M,Carolyn,Sanchez
ENG,1207,21,M,Maxima,Oneil
MEX,1480,11,M,Jimmy,Collins
USA,1141,26,M,Tina,Washington
MEX,1364,22,M,Paula,Delgado
JAP,1250,20,W,Elizabeth,Morris
ARG,1010,13,M,Warren,Briggs
USA,1115,24,M,Virgil,Shinn
JAP,1015,22,M,Winifred,Cross
GER,1333,21,W,Zelma,Humes
ENG,1429,16,M,Terrence,Wong
ARG,1195,18,W,Chanda,Nickel
ENG,1287,18,W,Amelia,Santos
GER,1154,14,W,Trinidad,Egan
USA,1409,10,M,Essie,Lawrence
USA,1397,23,W,Ryan,Clark
MEX,1437,13,M,Genaro,Sales
JAP,1045,24,M,Lori,Thornton
AUS,1172,23,W,Ezekiel,Banda
GER,1245,10,W,Luis,Wood
ENG,1260,15,W,Albert,Miller
USA,1143,26,M,Maxine,Hamilton
ENG,1541,22,M,Candace,Weaver
ENG,1013,14,W,Debra,Patterson
ARG,1405,12,M,Dominque,Packer
ENG,1395,14,W,Alice,Mitchell
AUS,1579,26,M,Erma,Porter
ARG,1355,14,M,Martha,Rivera
AUS,1592,17,M,Agnes,Cooper
MEX,1366,23,M,Margie,Robbins
ARG,1268,23,M,Mazie,Whittle
MEX,1365,14,M,Chris,Mathis
ARG,1112,15,W,Modesto,Centeno
ARG,1043,21,W,Hye,Fenton
GER,1425,17,W,Kaci,Naquin
MEX,1446,11,M,Howard,Coleman
ENG,1027,21,M,Kimberly,Anderson
MEX,1283,26,M,Karla,Cunningham
ARG,1088,14,M,Bessie,Mccormick
JAP,1545,19,M,Nancy,Henderson
JAP,1326,16,W,Judy,Carter
AUS,1047,19,W,Nikole,Mancini
USA,1376,13,W,Keith,Martin
AUS,1119,18,M,Joshua,Bailey
USA,1412,17,M,Wen,Huynh
JAP,1327,15,M,Leonora,Florence
ARG,1509,25,W,Adaline,Cochrane
USA,1452,10,M,Tami,Cobb
MEX,1547,10,M,Etsuko,Battles
USA,1179,20,W,Sheri,Clayton
CAN,1012,20,M,Mimi,Tidwell
USA,1171,10,M,Larita,Messina
USA,1081,14,M,Trula,Back
GER,1560,25,M,Dominique,Beaty
USA,1025,20,M,George,Martinez
ARG,1265,15,M,Louis,Reed
CAN,1004,22,M,Len,Otto
ENG,1240,13,W,Brandy,Buchanan
ARG,1126,11,W,Clinton,Edwards
ENG,1552,26,W,Shirley,Robinson
USA,1244,25,M,Carman,Baylor
GER,1034,16,M,Eunice,Mcdonald
GER,1040,12,W,Gretchen,Hale
JAP,1046,25,M,Catherine,Stewart
GER,1548,23,M,Hazel,Walsh
CAN,1454,13,M,Bruce,Torres
MEX,1128,14,M,Laticia,Sands
JAP,1507,14,W,Evelyn,Martin
CAN,1309,26,W,Andrea,Scott
CAN,1595,26,W,Regan,Key
USA,1320,23,W,Diane,Allen
JAP,1235,23,M,Cindi,Mcclanahan
ENG,1476,25,W,Keeley,Correia
ARG,1362,24,W,Andrew,Bennett
ARG,1399,15,M,Wynona,Neville
AUS,1162,23,M,Mark,Long
GER,1578,18,M,Anthony,Nelson
JAP,1148,11,M,Lynn,Brady
JAP,1163,26,W,Kristi,Wilkerson
AUS,1400,12,W,Jean,Williams
JAP,1160,11,M,Kimberly,Hernandez
MEX,1161,20,M,Geneva,Ryan
ENG,1033,13,M,Caroyln,Kerr
GER,1206,11,M,Lizabeth,Perron
MEX,1065,13,M,Wayne,Bryant
USA,1339,19,M,Sarah,Hill
MEX,1016,22,M,Donnie,Martinez
AUS,1451,10,M,Randall,Osborne
CAN,1392,13,W,Ilda,Mcadams
ARG,1349,23,M,Katherine,Lee
ENG,1006,17,W,Yvette,Walsh
ENG,1097,18,W,Heather,Young
ENG,1204,22,M,Christine,Bishop
AUS,1182,21,W,Jeanette,Knight
ENG,1408,24,W,Fred,Henderson
JAP,1026,26,M,Garrett,Bishop
CAN,1232,18,M,Henry,Miller
ENG,1584,20,W,Orlando,Montgomery
ARG,1271,24,M,Marylin,Burch
JAP,1462,24,W,Bradford,Jackson
GER,1063,16,W,Waldo,Hoyle
ARG,1502,25,W,Spencer,Lucas
AUS,1384,10,M,Herlinda,Millard
MEX,1310,15,W,Lucilla,Dickens
JAP,1367,10,M,Marilyn,Horton
ARG,1123,17,W,Adelia,Bachman
CAN,1061,25,M,Joseph,Peterson
ARG,1067,12,W,Alexis,Hayes
ENG,1293,17,W,Evelyn,Bass
GER,1184,10,M,Janice,Garcia
ARG,1222,15,W,Cheryl,Davis
ARG,1455,17,W,Ryan,Butler
ARG,1276,23,M,Chris,Smith
AUS,1589,25,M,Ruth,Morris
MEX,1060,26,M,Kirk,Waters
JAP,1428,21,W,Tiera,Jolley
USA,1448,15,M,Marilynn,Pyle
ENG,1108,15,M,Elvira,Reynolds
USA,1457,20,M,Lizeth,Adame
AUS,1483,25,W,Joe,Russell
ENG,1443,26,W,Ashley,Russell
JAP,1554,19,M,Azzie,Boston
ENG,1430,21,W,Frederica,House
USA,1544,21,W,Nicole,Diaz
AUS,1286,11,M,Edmundo,Beckham
ARG,1317,16,M,Gena,Barajas
MEX,1116,17,W,Alma,Stephens
MEX,1436,25,M,Sarah,Powell
ENG,1581,21,W,Rebecca,Turner
ENG,1406,23,M,Meredith,Estrada
CAN,1254,26,M,Kurtis,Farris
ARG,1281,10,W,Todd,Campbell
CAN,1488,18,M,Jonathon,Dunn
USA,1308,16,W,Shery,Ludwig
JAP,1572,24,M,Scotty,Lerma
ARG,1150,11,M,Isreal,Childress
CAN,1570,14,W,Alethea,Humphreys
CAN,1130,24,W,Caleb,Mendez
USA,1099,12,M,Kevin,Jenkins
ARG,1017,15,W,Noel,Caldwell
AUS,1261,17,M,Jermaine,Rodriquez
JAP,1124,18,W,Tabitha,Sullivan
AUS,1389,21,M,Tamara,Sims
CAN,1532,14,M,Chrissy,Hadden
JAP,1132,22,M,Joseph,Wilson
JAP,1129,21,W,Brianna,Seitz
JAP,1594,16,M,Kenia,Craft
ARG,1394,25,M,Teresita,Schafer
JAP,1242,15,W,Irene,Price
MEX,1517,13,W,Albert,Martinez
AUS,1101,17,M,Lana,Hill
AUS,1196,10,W,Nieves,Dew
ENG,1032,24,W,Stacey,Alexander
AUS,1590,16,M,Kenneth,Taylor
MEX,1203,21,W,Diana,Davis
MEX,1354,12,W,Shirl,Whitt
GER,1591,10,M,Catherine,Roberts
USA,1227,12,M,Kevin,Cobb
USA,1071,19,M,Remona,Jarrett
MEX,1500,11,W,Dede,Potts
GER,1147,20,W,Shelia,Owens
USA,1379,18,W,Jean,Gonzalez
CAN,1087,12,M,Martin,Carpenter
MEX,1487,20,M,Roy,Jones
MEX,1580,19,W,Amanda,Wilson
AUS,1030,24,W,Andrew,Allison
CAN,1524,13,W,Sabrina,Rodriguez
JAP,1504,16,M,Laurie,Bowman
ARG,1122,16,M,Nettie,George
ARG,1288,21,M,Leroy,Mclaughlin
ARG,1036,15,M,Gloria,Roberts
JAP,1466,15,M,Kayla,Ingram
GER,1369,12,W,Kelvin,Jordan
ARG,1289,22,M,Jeremy,Ramirez
ENG,1330,14,M,Douglas,Lopez
ENG,1177,24,M,Myra,Bryant
MEX,1418,23,M,Kari,Nichols
AUS,1307,14,W,Eric,Lewis
MEX,1577,11,W,Glenda,Thomas
MEX,1423,15,W,Opal,Malone
JAP,1465,26,W,Lillie,May
CAN,1433,18,W,Johnny,Young
CAN,1562,12,M,Jason,Pearson
AUS,1273,26,M,Toni,Quinn
GER,1098,11,W,Brian,Ross
MEX,1485,10,M,Byron,Watson
CAN,1501,14,W,Shawn,Vargas
JAP,1180,26,M,Denise,Hughes
USA,1211,12,M,Jamie,Welch
CAN,1536,24,M,Arthur,Harris
ARG,1164,15,W,Bobby,James
AUS,1531,23,M,Donald,Thompson
JAP,1474,21,W,Beatrice,Alvarado
ARG,1324,10,W,Emily,Nash
GER,1292,24,W,Joline,Chin
MEX,1484,21,W,Cleora,Concepcion
AUS,1157,14,M,Donetta,Walls
USA,1298,21,W,Brady,Trent
USA,1582,13,W,Nicholas,Washington
ENG,1259,18,M,Boyce,Carlisle
GER,1109,19,W,Jody,Barnes
MEX,1231,14,M,Lynne,Flores
JAP,1540,16,M,Phyllis,Thomas
ARG,1404,15,W,Clarence,Turner
USA,1234,20,M,Caroline,Sharp
CAN,1352,26,W,Tijuana,Leblanc
ARG,1514,20,W,Jeanna,Sawyers
ARG,1256,16,W,Chauncey,Bottoms
MEX,1341,25,W,Kelley,Palmer
GER,1338,24,M,Janice,Moore
AUS,1444,19,W,Bradford,Potter
USA,1226,14,M,Kathryn,Bailey
ENG,1565,21,M,Lori,Robinson
ENG,1251,12,W,Melissa,Stewart
USA,1084,10,M,Genevive,Mejia
ENG,1243,26,W,Irene,Lopez
ARG,1464,22,M,Patty,Jimenez
USA,1311,13,M,Lindsey,Warren
MEX,1069,12,M,Randy,Baker
USA,1225,16,M,Kayleigh,Goss
JAP,1378,13,W,Priscilla,Chavez
ARG,1049,11,W,Mabel,Schwartz
ENG,1039,22,M,Zona,Sykes
ENG,1527,14,W,Angelena,Loftis
JAP,1210,19,W,Michael,Cook
MEX,1149,25,M,Kurt,Dennis
CAN,1188,20,M,Mercedes,Herrera
JAP,1360,24,W,Adella,Hargis
CAN,1588,16,W,Valeri,Kimball
AUS,1529,19,M,Israel,Lewis
CAN,1571,23,M,Ruth,Brown
JAP,1114,26,M,Maryanna,Schroeder
GER,1313,22,W,Elbert,Paul
ARG,1221,21,M,Issac,Nagy
AUS,1557,22,M,Trudie,Waite
JAP,1199,13,M,Jerrod,Easter
ARG,1402,16,W,Kelly,Jackson
ARG,1494,17,M,Martin,Wright
AUS,1187,11,M,Gerald,Taylor
CAN,1018,26,M,Terri,Higgins
JAP,1238,11,M,Mercy,Solano
JAP,1414,22,M,Devora,Braxton
CAN,1386,16,W,Lakiesha,Lange
MEX,1419,16,M,Kasandra,Strange
ARG,1331,25,W,Caitlin,Utley
ARG,1100,10,M,Jennifer,Thomas
ENG,1294,23,W,Joline,Catalano
JAP,1445,16,M,Anna,Evans
ARG,1442,15,M,Kamala,Hallman
USA,1173,19,M,Janett,Watt
MEX,1106,23,W,Abel,Erickson
AUS,1371,21,W,Augusta,Hiatt
ARG,1512,26,M,Jamie,Barker
AUS,1347,10,W,Stella,Elliott
ENG,1482,22,W,Keila,Seifert
GER,1280,26,M,Danita,Jude
AUS,1410,18,M,Krystyna,Ferry
MEX,1361,17,W,Arletha,Smothers
GER,1575,20,M,Harry,Gray
CAN,1105,20,M,Bruce,Alexander
ARG,1490,12,M,Annett,Braun
USA,1155,24,W,Alma,Leonard
MEX,1382,24,W,Angela,Rodriguez
AUS,1193,11,W,Rafael,Bryan
USA,1103,25,W,Ricky,Cohen
AUS,1262,21,W,Johnna,Silver
ARG,1220,19,W,Jo,Elliott
AUS,1135,23,M,Donald,Sherman
USA,1411,13,M,Tyree,Dubose
ENG,1052,20,M,Cythia,Michael
MEX,1303,19,M,Earl,Diaz
ARG,1513,13,M,Dominick,Holloway
AUS,1073,19,W,Jack,Lewis
USA,1133,25,W,Yuette,Reddick
MEX,1055,26,M,Benny,Marsh
USA,1390,21,W,Amanda,Williams
CAN,1403,22,M,Lawrence,James
CAN,1391,21,M,Anne,Rice
GER,1139,24,M,Liza,Benefield
ARG,1346,13,W,Jeannie,Dunn
ARG,1237,11,W,Eugene,Jenkins
JAP,1079,17,M,Shona,Tillery
ENG,1278,18,M,Doyle,Baldwin
CAN,1381,20,M,Jesse,Foster
ARG,1497,17,M,Meredith,Burke
ENG,1555,13,M,Tameika,Nance
CAN,1525,22,M,Donette,Mccarty
JAP,1070,17,M,Porsche,Greiner
ARG,1272,17,M,Carol,Hernandez
GER,1253,10,M,Ann,Moore
JAP,1031,11,M,Janet,Ortiz
ARG,1481,23,M,James,Watson
ENG,1375,18,M,Misti,Humphrey
ARG,1076,10,M,Gary,Bell
AUS,1350,14,M,Timothy,Bolt
GER,1239,24,M,Mitsue,Klinger
USA,1035,20,W,Olimpia,Rapp
AUS,1136,22,W,Isaias,Lehman
ENG,1440,14,M,Cornelius,Pittman
JAP,1530,13,M,Terence,Herrera
JAP,1068,23,M,Cynthia,King
CAN,1432,16,M,Tammy,Simmons
AUS,1491,13,M,Susan,Kelly
JAP,1558,25,W,Gregory,Sanders
USA,1117,26,M,Marilyn,Rogers
USA,1230,13,M,Paul,Boone
ARG,1538,23,M,Kathe,Meier
GER,1144,26,M,Pasquale,Dortch
GER,1023,14,M,Raymond,Ross
CAN,1107,25,W,Elizabeth,Murphy
MEX,1093,11,W,Diana,Hall
ENG,1090,12,M,Darrell,Obrien
MEX,1168,24,M,Beverly,Adams
JAP,1255,20,M,Peter,Adams
MEX,1191,26,W,Salome,Dolan
JAP,1054,25,W,Nicholas,Brooks
ENG,1334,12,M,Vania,Nadeau
JAP,1121,18,M,Samantha,Phillips
MEX,1137,23,W,Rolando,Hanson
MEX,1322,13,W,Sadie,Reyes
ENG,1569,15,W,Tricia,Barrett
CAN,1274,14,W,Joan,Jackson
JAP,1021,21,M,Lloyd,Christensen
GER,1325,11,M,Carmelia,Aguilera
CAN,1257,26,M,Barbara,Scott
USA,1447,19,W,Heather,Gonzales
JAP,1593,26,W,Aleta,Foss
JAP,1456,26,M,Mary,Baker
