EmployeeID,FirstName,LastName,JobTitle,Department,DateOfHire,Email,Salary,Location
144,Susan,Campbell,Charity officer,Marketing,2016-12-09,adambrown@hotmail.com,119913.89,Redmond
145,John,Greene,Adult nurse,Sales,2016-12-19,alvarezkatelyn@gmail.com,126774.36,Bellevue
146,Heather,Vaughn,Dispensing optician,Finance,2015-03-11,kristileon@sloan-lewis.org,146066.01,Seattle
147,Garrett,Lawrence,Legal secretary,Finance,2022-11-15,martinmichael@frey.info,73181.9,Redmond
148,Christian,Rivera,Fisheries officer,Sales,2020-08-09,thomasdeborah@gardner.org,75194.19,Bellevue
149,Nicholas,Fisher,"Runner, broadcasting/film/video",HR,2020-08-25,cynthiagreen@cox-yang.com,122057.37,Tacoma
150,Katrina,Russell,Agricultural consultant,HR,2021-07-21,gonzalesgrace@hotmail.com,103901.55,Redmond
151,Patrick,Jenkins,Housing manager/officer,Audit,2024-05-13,carly81@parker.com,115572.91,Bellevue
152,Hannah,Jones,Immunologist,Legal,2019-12-29,changlatoya@yahoo.com,110922.55,Redmond
153,Claudia,Estrada,"Development worker, international aid",HR,2018-10-03,paul27@yahoo.com,125597.13,Redmond
154,Robert,Nelson,Social worker,Audit,2024-01-03,shane93@jimenez.com,57786.97,Seattle
155,Ann,Joseph,Corporate investment banker,HR,2015-12-07,thomas85@francis-turner.com,70773.72,Tacoma
156,Ashley,Ray,"Therapist, nutritional",Finance,2016-06-15,charles17@yahoo.com,112121.09,Seattle
157,Amy,Mathis,Advertising copywriter,Accounting,2014-12-15,jacob81@anderson.com,98359.86,Tacoma
158,Andrew,Barnett,"Engineer, building services",Sales,2020-07-07,curtisjacqueline@hotmail.com,52176.08,Tacoma
159,Pamela,Wood,Customer service manager,Accounting,2015-07-01,josephvincent@johnson.com,63429.76,Kirkland
160,Anna,Torres,Sales promotion account executive,Legal,2019-11-29,allen90@palmer.net,143861.25,Seattle
161,Alexis,Jones,"Civil engineer, contracting",Sales,2017-06-17,qobrien@williams-chaney.com,86411.38,Bellevue
162,Brandon,Orozco,"Teacher, early years/pre",Sales,2021-09-09,jasminesloan@yahoo.com,122013.3,Tacoma
163,Lisa,Fitzpatrick,Civil Service fast streamer,Accounting,2022-03-08,xmitchell@sherman-gibson.com,109011.23,Seattle
164,Richard,Melendez,Retail manager,Marketing,2022-05-17,kimberly99@fields.com,143175.7,Kirkland
165,Melanie,Sullivan,Print production planner,Sales,2016-01-04,scottjohnson@jensen.com,64413.09,Kirkland
166,Diana,Gray,"Engineer, civil (consulting)",IT,2017-06-18,david12@mcdonald-andrews.com,94926.11,Seattle
167,Melissa,Myers,Careers information officer,Sales,2015-09-01,matthewgray@gmail.com,119056.2,Redmond
168,Melissa,Flores,Community development worker,Audit,2015-03-19,ryanisabella@hotmail.com,57586.06,Redmond
169,Christina,Bird,"Accountant, chartered certified",Marketing,2016-03-08,chloeclark@cox-park.com,51875.51,Seattle
170,Maria,Hurley,"Education officer, community",Legal,2021-01-18,toddalicia@yahoo.com,127827.98,Redmond
171,Mario,Hill,"Doctor, general practice",Finance,2021-10-28,mendozajoshua@gmail.com,71133.02,Kirkland
172,David,Campbell,Newspaper journalist,HR,2020-01-16,fgreene@barton.net,60411.24,Tacoma
173,Caitlin,Ellis,"Development worker, international aid",HR,2022-06-07,bernardhannah@yahoo.com,105020.38,Bellevue
174,Janet,Lyons,Paediatric nurse,HR,2015-10-10,ahamilton@orr.com,87466.39,Tacoma
175,David,Sullivan,"Producer, television/film/video",IT,2018-01-14,robert45@hurst-grant.com,96489.59,Tacoma
176,Trevor,Contreras,Adult nurse,Marketing,2023-06-05,ustein@gmail.com,88154.41,Tacoma
177,Margaret,Smith,Higher education lecturer,Legal,2024-07-19,floreschristina@fisher.biz,61847.69,Redmond
178,Rebekah,Simmons,"Nurse, children's",Audit,2020-01-28,fcox@lee-bishop.org,127970.96,Bellevue
179,Richard,Ramsey,"Development worker, community",HR,2024-04-29,gramirez@yahoo.com,92335.11,Redmond
180,Robin,Henry,Public librarian,IT,2014-12-15,perezjoseph@hotmail.com,126159.32,Tacoma
181,Kaitlin,Mendoza,Geochemist,Audit,2022-06-11,steven81@nelson-howard.org,58595.01,Bellevue
182,Brenda,Martinez,"Surveyor, minerals",Marketing,2022-08-27,wendy94@gmail.com,50860.01,Seattle
183,Erika,Young,Location manager,Marketing,2022-10-20,williamsrobert@davis-hicks.biz,83739.1,Kirkland
184,Maurice,Patterson,Aid worker,Audit,2022-08-13,ihunter@gmail.com,91149.61,Kirkland
185,Francisco,Davis,Advertising account executive,Sales,2016-02-28,marshrobert@yahoo.com,58956.59,Redmond
186,Deborah,Harding,Housing manager/officer,Finance,2022-03-13,emily52@hernandez.com,127529.67,Bellevue
187,Dawn,Perez,"Teacher, early years/pre",Accounting,2023-07-04,michael41@quinn.com,107868.53,Kirkland
188,Donna,Chan,Scientific laboratory technician,Marketing,2020-05-19,charlenerocha@gmail.com,105871.89,Kirkland
189,Monica,Mcbride,Local government officer,IT,2017-12-28,mcgeecolleen@yahoo.com,58073.54,Seattle
190,Tyler,Schroeder,"Editor, magazine features",Audit,2020-07-13,ncrawford@hotmail.com,72495.39,Kirkland
191,Diana,Good,Human resources officer,Accounting,2020-08-20,udavis@yahoo.com,95201.4,Kirkland
192,Andrew,Ochoa,Dispensing optician,Legal,2023-12-11,wilsonnicole@gmail.com,60935.17,Tacoma
193,David,Alvarez,Financial trader,Marketing,2019-01-27,nelsonjohn@gmail.com,93595.92,Tacoma
194,Stuart,Vazquez,"Education officer, museum",Audit,2018-03-03,watsongarrett@king.com,99864.88,Tacoma
195,Elizabeth,Jackson,"Teacher, adult education",HR,2023-12-10,helen62@yahoo.com,64268.36,Seattle
196,Elizabeth,Snyder,Immunologist,Marketing,2016-10-08,riggsdonna@sanchez-burke.info,126396.12,Seattle
197,Jessica,Werner,"Pharmacist, community",Finance,2023-06-05,marcus56@carlson-vasquez.org,119258.02,Kirkland
198,Heather,Gardner,Cartographer,Marketing,2019-02-18,dawn09@hotmail.com,85819.24,Seattle
199,Katelyn,Thomas,Psychotherapist,Sales,2022-10-14,jessicamullins@lester-miller.com,117245.81,Tacoma
200,Lindsey,Clark,"Administrator, charities/voluntary organisations",Finance,2018-06-27,rjones@yahoo.com,80565.5,Bellevue
201,William,Santiago,Commercial art gallery manager,Marketing,2016-12-01,shane70@hotmail.com,83827.08,Seattle
202,William,Vega,Management consultant,IT,2019-03-21,larajeffrey@yahoo.com,134801.05,Tacoma
203,Caitlin,Freeman,Tax adviser,Accounting,2016-07-01,matthewrivera@travis.com,89754.31,Seattle
204,Amanda,Decker,Prison officer,Legal,2024-09-07,mark81@hotmail.com,135829.8,Bellevue
205,Whitney,Parker,Museum/gallery conservator,Audit,2022-08-16,douglas09@yahoo.com,128626.93,Kirkland
206,Tiffany,Clark,Land,Finance,2023-05-17,tammy35@nguyen.com,136837.28,Bellevue
207,Michael,Hall,"Production designer, theatre/television/film",HR,2018-12-25,angelaharrison@yahoo.com,117525.05,Redmond
208,Michael,Fisher,Television/film/video producer,IT,2017-05-05,igibson@gmail.com,68180.73,Tacoma
209,Thomas,Hall,"Administrator, local government",Marketing,2021-06-24,richardsantana@hotmail.com,131660.72,Kirkland
210,Melissa,Hunter,Catering manager,Accounting,2021-08-23,coleveronica@yahoo.com,115089.66,Seattle
