27,Brown,L,Susan,Female,Software Engineer,IT,2023-05-02,null,118839.25
28,Martinez,G,Sarah,Female,IT Support,Marketing,2017-05-23,null,123951.84
29,Hernandez,U,Elizabeth,Female,Accountant,Sales,2016-08-03,2019-03-21,106409.99
30,Johnson,W,George,Male,Operations Specialist,Operations,2019-10-29,null,81384.54
31,Garcia,K,Margaret,Female,Project Manager,Finance,2011-06-24,null,146223.64
32,Smith,Z,David,Male,Product Manager,Product,2013-05-29,null,62296.28
33,Hernandez,S,Charles,Male,Operations Specialist,Engineering,2012-04-16,null,60863.92
34,Jones,H,Thomas,Male,Sales Executive,Sales,2021-02-07,null,143806.49
35,Davis,P,Linda,Female,Marketing Coordinator,Sales,2012-09-16,null,52046.82
36,Williams,X,Mary,Female,Data Analyst,Data,2016-11-07,null,62050.17
37,Smith,P,Margaret,Female,HR Manager,Sales,2020-08-02,null,116262.04
38,Johnson,Y,James,Male,Operations Specialist,Sales,2023-05-16,null,67728.08
39,Garcia,R,Barbara,Female,Operations Specialist,Finance,2011-04-18,null,126104.5
40,Smith,D,William,Male,Operations Specialist,Product,2023-07-04,null,75093.65
41,Brown,G,James,Male,Accountant,Data,2013-09-19,null,56122.92
42,Hernandez,W,Elizabeth,Female,Marketing Coordinator,Sales,2022-07-10,null,53110.19
43,Martinez,Y,Margaret,Female,Project Manager,HR,2021-12-28,null,116171.8
44,Williams,R,Susan,Female,Project Manager,Engineering,2022-04-06,null,57663.09
45,Johnson,C,David,Male,Operations Specialist,Sales,2016-10-18,null,133485.38
46,Hernandez,Z,James,Male,Operations Specialist,Product,2017-09-29,null,59316.18
47,Smith,H,Linda,Female,Data Analyst,HR,2023-10-01,null,62348.86
48,Garcia,X,John,Male,Project Manager,Product,2024-02-24,null,142628.53
49,Hernandez,R,George,Male,Data Analyst,Finance,2015-12-28,null,133476.89
50,Williams,Q,Elizabeth,Female,Sales Executive,Product,2022-02-13,null,142660.82
51,Smith,V,Mary,Female,Project Manager,Engineering,2019-03-11,null,117004.06
52,Brown,F,Richard,Male,Operations Specialist,Sales,2016-05-03,2021-07-09,136620.71
53,Davis,U,James,Male,Project Manager,Operations,2020-04-15,null,60164.92
54,Garcia,H,Barbara,Female,IT Support,Data,2013-08-04,null,117951.57
55,Williams,D,David,Male,Operations Specialist,Marketing,2021-08-15,null,62349.43
56,Johnson,X,John,Male,Accountant,Product,2019-05-10,null,116632.27
57,Garcia,B,Susan,Female,Sales Executive,Operations,2024-01-08,null,136778.72
58,Jones,S,David,Male,Project Manager,Engineering,2016-03-22,null,131234.1
59,Williams,T,Barbara,Female,HR Manager,Marketing,2011-10-26,null,106151.43
60,Garcia,O,James,Male,Data Analyst,Operations,2017-12-16,null,147429.02
61,Smith,Q,Linda,Female,Product Manager,HR,2019-11-12,null,56706.01
62,Williams,F,Patricia,Female,IT Support,Product,2016-08-14,null,94471.5
63,Hernandez,A,Robert,Male,Marketing Coordinator,Engineering,2017-09-22,null,148073.61
64,Garcia,W,Patricia,Female,Sales Executive,Product,2013-03-28,null,93007.17
65,Brown,X,William,Male,Operations Specialist,Operations,2011-12-12,null,118849.4
66,Williams,I,James,Male,Product Manager,Operations,2014-09-11,null,105830.46
67,Johnson,K,Margaret,Female,IT Support,Data,2012-04-05,null,73122.15
68,Hernandez,P,John,Male,Sales Executive,Marketing,2011-12-28,null,128539.97
69,Smith,K,Patricia,Female,Operations Specialist,HR,2012-11-04,null,110946.55
70,Williams,C,George,Male,Operations Specialist,Engineering,2014-03-22,null,54618.72
71,Hernandez,A,James,Male,IT Support,Engineering,2020-02-08,null,143839.06
72,Davis,Z,Mary,Female,Marketing Coordinator,Finance,2019-01-14,null,95334.79
73,Johnson,V,Linda,Female,Sales Executive,Sales,2022-08-29,null,87894.7
74,Hernandez,M,David,Male,Operations Specialist,Marketing,2022-06-17,null,133380.28
75,Williams,P,Mary,Female,Product Manager,Data,2023-02-21,null,55514.19
76,Smith,U,Susan,Female,IT Support,Engineering,2017-06-25,null,76441.22
77,Brown,Y,Richard,Male,Project Manager,Finance,2024-04-08,null,50833.33
78,Hernandez,G,Charles,Male,Sales Executive,Marketing,2023-12-25,null,134936.68
79,Williams,Y,John,Male,Product Manager,Engineering,2015-10-06,null,130194.63
80,Garcia,T,John,Male,Project Manager,Sales,2024-09-27,null,75835.94
81,Smith,B,Margaret,Female,Accountant,Operations,2018-10-05,null,99567.12
82,Williams,N,Linda,Female,Sales Executive,HR,2020-01-05,null,92850.58
83,Johnson,E,George,Male,Sales Executive,Marketing,2017-07-09,null,74357.36
84,Hernandez,F,Susan,Female,Sales Executive,Operations,2013-07-29,null,131729.77
85,Smith,D,Mary,Female,IT Support,Sales,2024-01-26,null,106331.4
86,Williams,A,Susan,Female,Data Analyst,Data,2012-12-27,null,80577.57
87,Johnson,T,Linda,Female,Marketing Coordinator,Operations,2017-10-09,null,107631.68
88,Garcia,G,James,Male,Data Analyst,Product,2017-02-04,null,71932.89
89,Smith,X,Mary,Female,Accountant,Sales,2017-05-16,null,128073.97
90,Williams,Z,David,Male,Project Manager,Finance,2024-01-17,null,102526.06
91,Garcia,R,Patricia,Female,Sales Executive,Engineering,2014-09-14,null,51744.58
92,Williams,V,John,Male,Operations Specialist,Data,2011-06-17,null,74273.63
93,Johnson,R,Margaret,Female,Project Manager,Marketing,2020-03-26,null,119987.71
94,Brown,Q,William,Male,Product Manager,Sales,2018-09-27,null,62052.77
95,Smith,Z,Sarah,Female,Project Manager,Product,2022-03-18,null,99687.92
96,Hernandez,A,Barbara,Female,Project Manager,Finance,2022-09-06,null,106732.93
97,Brown,I,Richard,Male,Product Manager,Finance,2023-07-04,null,130368.61
98,Williams,Q,Margaret,Female,Product Manager,Sales,2011-11-20,null,116048.69
99,Smith,L,Barbara,Female,Operations Specialist,Marketing,2016-11-15,null,80464.64
100,Hernandez,K,Patricia,Female,Operations Specialist,Sales,2015-09-20,null,134891.34
101,Williams,G,Margaret,Female,Operations Specialist,Product,2019-09-18,null,139548.63
102,Smith,T,David,Male,Product Manager,Operations,2014-12-02,null,143173.23
103,Davis,Y,Richard,Male,Product Manager,Product,2017-12-16,null,101511.7
104,Johnson,X,Charles,Male,Operations Specialist,Operations,2020-10-01,null,120635.68
105,Garcia,Q,Susan,Female,Project Manager,Marketing,2023-07-18,null,140229.34
106,Brown,Y,Linda,Female,Project Manager,Product,2018-09-24,null,120546.16
107,Hernandez,A,Susan,Female,Operations Specialist,HR,2019-07-29,null,134784.07
108,Smith,N,Sarah,Female,Sales Executive,Sales,2011-09-27,null,64358.33
109,Williams,P,Linda,Female,Operations Specialist,Engineering,2020-05-24,null,107303.9
110,Johnson,M,Mary,Female,Product Manager,Operations,2023-12-29,null,96957.38
