ID#,Last Name,Middle Initial,First Name,Gender,Job Title,Department,Hire Date,Termination Date,Annual Salary
37,Perez,T,Carmen,Female,Finance Coordinator,Finance,02/10/2017,null,64000
38,Roberts,H,Oliver,Male,Event Planner,Marketing,23/06/2022,null,60000
39,Turner,R,Layla,Female,Data Entry Clerk,Administration,05/01/2021,null,45000
40,Phillips,J,Tyler,Male,Content Strategist,Marketing,27/02/2018,null,72000
41,Campbell,L,Julia,Female,Web Designer,Design,10/03/2014,null,68000
42,Parker,N,Henry,Male,Graphic Designer,Design,18/11/2016,null,62000
43,Evans,K,Chloe,Female,SEO Specialist,Marketing,15/08/2019,null,75000
44,Edwards,M,Aiden,Male,Data Analyst,Finance,20/12/2020,null,72000
45,Collins,B,Maya,Female,Customer Success Manager,Support,10/05/2013,null,72000
46,Stewart,C,Jake,Male,Technical Writer,IT,04/06/2015,null,60000
47,Flores,D,Zoe,Female,HR Generalist,HR,01/09/2021,null,60000
48,West,S,Liam,Male,Operations Coordinator,Operations,15/07/2019,null,70000
49,Chávez,R,Nora,Female,Market Research Analyst,Marketing,22/11/2022,null,58000
50,Wood,B,Evelyn,Female,Sales Director,Sales,10/02/2015,null,120000
51,Reyes,K,Daniel,Male,IT Support Analyst,IT,09/03/2023,null,50000
52,Long,Q,Erin,Female,Web Developer,IT,18/12/2014,null,80000
53,Palmer,J,Max,Male,Operations Supervisor,Operations,14/05/2021,null,90000
54,Richardson,R,Victoria,Female,Recruitment Manager,HR,06/10/2019,null,80000
55,Watson,K,Tyson,Male,UX Designer,Design,24/09/2017,null,86000
56,Brooks,A,Karen,Female,Finance Analyst,Finance,28/04/2016,null,72000
57,Jordan,C,Noah,Male,Software Architect,IT,02/08/2022,null,110000
58,Nguyen,D,Emily,Female,Marketing Assistant,Marketing,19/11/2021,null,58000
59,Hall,C,Michael,Male,Sales Executive,Sales,25/01/2014,null,75000
60,Butler,K,Rachel,Female,Customer Service Manager,Support,12/06/2020,null,70000
61,Howard,S,Austin,Male,Technical Support Specialist,IT,30/03/2015,null,50000
62,Thompson,B,Sofia,Female,Content Editor,Marketing,13/05/2023,null,60000
63,Garcia,M,Cole,Male,Software Developer,IT,21/10/2018,null,95000
64,Martinez,K,Amelia,Female,Product Owner,Product,05/02/2016,null,90000
65,Martinez,L,Gabriel,Male,Logistics Coordinator,Operations,19/01/2020,null,65000
66,James,N,Anna,Female,Finance Assistant,Finance,03/04/2022,null,48000
67,Bennett,J,Ethan,Male,Field Sales Rep,Sales,20/09/2011,null,72000
68,Gray,D,Abigail,Female,Compliance Officer,Legal,10/02/2017,null,78000
69,Scott,C,Lily,Female,HR Analyst,HR,22/06/2019,null,63000
70,Reed,J,Sebastian,Male,Business Analyst,Operations,05/03/2020,null,85000
71,Price,A,Victoria,Female,Office Manager,Administration,13/12/2013,null,66000
72,Perkins,B,Matthew,Male,Brand Manager,Marketing,15/01/2015,null,83000
73,Chavez,E,Sophie,Female,Customer Care Specialist,Support,10/04/2021,null,50000
74,Hughes,K,Riley,Male,Software Development Manager,IT,11/11/2016,null,110000
75,Stevens,C,Ava,Female,Content Marketing Manager,Marketing,21/05/2019,null,70000
76,Cook,J,Julian,Male,Web Analytics Specialist,IT,12/10/2020,null,78000
77,Ortiz,H,Emma,Female,Administrative Assistant,Administration,14/08/2023,null,400
