UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,TerminationDate
1,Smith,A,J, male,Software Engineer,IT,23/06/2021,
2,Doe,NA,Jane,female,Data Analyst,Marketing,15/08/2020,
3,Brown,C,R, male,Project Manager,Operations,01/10/2019,
4,Johnson,B,K,female,HR Specialist,Human Resources,12/04/2021,
63,Lee,J,A,M,female,Event Coordinator,Marketing,22/06/2019,
64,Allen,K,K,T,male,Security Analyst,IT,07/07/2020,
65,Wright,L,A,N,female,Graphic Designer,Creative,17/09/2022,
66,Hernandez,M,L,C,male,Market Research Analyst,Marketing,25/10/2020,
67,White,N,D,R,female,Payroll Specialist,HR,14/11/2023,
68,Martinez,O,E,A,male,IT Consultant,IT,09/01/2022,
69,Lee,P,K,NA,female,Training Coordinator,HR,12/12/2021,
70,Ramirez,Q,T,F,male,Product Manager,R&D,29/05/2023,
71,Gonzalez,R,N,L,female,Supply Chain Manager,Operations,20/08/2021,
72,Morris,S,C,A,male,Application Support,IT,04/06/2020,
73,Turner,T,L,B,female,Sales Operations,Sales,12/04/2023,
74,King,U,E,NA,male,Compliance Specialist,Legal,16/10/2021,
75,Hall,V,P,A,female,Digital Marketing Manager,Marketing,25/02/2022,
76,Martin,W,A,N,male,Research Scientist,R&D,18/09/2019,
77,Thompson,X,B,J,female,Customer Care,Support,03/01/2020,
78,Gonzalez,Y,L,O,male,Data Quality Analyst,IT,14/03/2023,
79,Harris,Z,T,D,female,Network Security,IT,09/02/2022,
80,Carter,A,M,K,male,Business Development,Sales,11/07/2021,
81,Adams,B,N,L,female,Financial Director,Finance,23/04/2020,
82,Brown,C,L,N,male,Product Analyst,R&D,02/09/2021,
83,White,D,A,M,female,Operations Specialist,Operations,25/01/2023,
84,Martinez,E,K,P,male,IT Architect,IT,01/08/2022,
85,Young,F,Q,T,female,Sales Analyst,Sales,19/03/2020,
86,Allen,G,D,C,male,Data Operations Manager,IT,14/12/2021,
87,Mitchell,H,N,A,female,HR Consultant,HR,12/07/2023,
88,Campbell,I,S,K,male,Logistics Manager,Operations,22/04/2020,
89,Robinson,J,E,D,female,Content Strategist,Creative,16/02/2023,
90,Baker,K,A,X,male,Social Media Specialist,Marketing,04/06/2021,
91,Adams,L,H,NA,female,HR Assistant,HR,03/08/2019,
92,Harris,M,N,L,male,Web Analyst,IT,30/11/2022,
93,Carter,N,L,M,female,Financial Advisor,Finance,11/04/2020,
94,Evans,O,R,A,male,Sales Trainee,Sales,10/02/2023,
95,Green,P,J,S,female,Research Assistant,R&D,07/10/2020,
96,White,Q,C,B,male,Training Specialist,HR,13/06/2021,
97,Lee,R,A,N,female,Customer Experience Manager,Support,15/11/2022,
98,Allen,S,T,M,male,Database Developer,IT,18/04/2019,
99,Hernandez,T,D,F,female,Operations Manager,Operations,02/03/2023,
100,Young,U,H,NA,male,Brand Manager,Marketing,10/09/2022,
101,Walker,V,L,A,female,Sales Support Specialist,Sales,28/12/2020,
102,Moore,W,M,R,male,UX/UI Designer,Creative,15/01/2021,
103,Taylor,X,N,M,female,Market Researcher,Marketing,03/10/2021,
104,King,Y,Q,S,male,Data Analyst,IT,16/02/2020,
105,Morris,Z,K,J,female,Technical Support Engineer,IT,22/11/2022,
106,Evans,A,E,N,male,Supply Chain Specialist,Operations,19/04/2023,
107,Stewart,B,T,L,female,IT Trainer,IT,29/05/2021,
108,Roberts,C,B,X,male,Executive Coordinator,Administration,11/08/2022,
109,Scott,D,A,F,female,Recruitment Officer,HR,01/12/2020,
110,Gonzalez,E,J,T,male,Customer Support,Support,17/03/2022
