Prompt 2: for Gender the options should be male, female or other
HireDate should be listed as dd/mm/yyyy, and dates can range from 6/23/1951 through 12/31/2023
for Termination it should be a date listed as dd/mm/yyyy and if the employee has not been terminated, the field should be null
Add an AnnualSalary attribute as well



UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,HireDate,Termination,AnnualSalary
E00091,Taylor,V,Linda,other,Data Analyst,Engineering,19/12/2020,null,"$132,319"
E00092,Smith,L,Linda,female,Manager,Engineering,25/02/1958,28/05/1983,"$96,460"
E00093,Moore,Y,Michael,female,Sales Representative,Engineering,01/06/1956,02/08/2015,"$149,047"
E00094,Jones,X,Linda,other,Accountant,Customer Service,25/01/1978,12/04/2014,"$42,269"
E00095,Brown,W,Mary,male,Sales Representative,Finance,03/10/2001,03/07/2023,"$143,156"
E00096,Wilson,D,John,female,HR Specialist,Operations,25/06/1988,null,"$128,461"
E00097,Taylor,F,David,other,Software Engineer,Finance,14/11/1951,null,"$66,781"
E00098,Miller,M,Robert,other,Data Analyst,Customer Service,22/12/1964,null,"$42,530"
E00099,Wilson,U,Robert,male,Sales Representative,IT,10/03/1968,null,"$73,108"
E00100,Moore,G,John,male,HR Specialist,Sales,05/01/2003,02/01/2016,"$141,856"
E00101,Taylor,C,James,female,Sales Representative,Operations,03/06/2020,null,"$141,984"
E00102,Jones,Q,Barbara,female,Data Analyst,Engineering,20/01/1955,25/08/2020,"$88,771"
E00103,Davis,I,Mary,female,Data Analyst,Operations,11/06/1953,11/09/1956,"$48,923"
E00104,Davis,V,Michael,female,Software Engineer,Operations,26/03/1966,24/02/1998,"$143,975"
E00105,Moore,W,Linda,male,Sales Representative,Finance,18/08/1981,20/04/1982,"$118,682"
E00106,Wilson,H,Mary,female,Sales Representative,IT,27/03/1975,28/03/1998,"$69,995"
E00107,Miller,H,Michael,female,Sales Representative,HR,24/05/1988,10/02/2013,"$101,229"
E00108,Taylor,W,John,other,Data Analyst,Operations,06/05/1970,null,"$107,880"
E00109,Brown,N,Robert,female,Software Engineer,Marketing,30/09/1997,23/10/2019,"$148,026"
E00110,Brown,C,James,male,Sales Representative,Finance,31/01/1995,29/01/2023,"$65,223"


Prompt 3: the Department should be related to the an essential oil company 
change the Termination attribute to TerminationDate
dozens of the employees are to be native Brazilian leaf gathers 
most employees have been hired in the last year and the current date is 1/1/2024


Reached my data analysis limit before it could complete the adjustments to this Prompt
