EmployeeID,Name,Department,Position,Email,Phone,Address,Date of Hire,Salary
76,Willis King,HR,HR Metrics,willis.king@example.com,555-0176,789 Oak St, Hamletville,2021-03-12,69000
77,Xander Reed,Engineering,Technical Support,xander.reed@example.com,555-0177,456 Cedar St, Boroughland,2021-10-29,73000
78,Yvette Hall,Marketing,Social Media Analyst,yvette.hall@example.com,555-0178,321 Pine St, Cityplace,2020-01-14,70000
79,Zoe Price,Sales,Customer Experience Manager,zoe.price@example.com,555-0179,123 Birch St, Townsville,2021-11-05,74000
80,Avery Walker,HR,Diversity & Inclusion,avery.walker@example.com,555-0180,456 Oak St, Villageville,2021-05-30,68000
81,Bradley Nelson,Engineering,Project Manager,bradley.nelson@example.com,555-0181,789 Pine St, Cityland,2019-06-15,95000
82,Cindy Harris,Marketing,Creative Director,cindy.harris@example.com,555-0182,123 Cedar St, Boroughland,2021-08-21,90000
83,Daniel Carter,Sales,Sales Consultant,daniel.carter@example.com,555-0183,456 Birch St, Hamletville,2019-11-18,70000
84,Eva Lee,HR,Employee Engagement,eva.lee@example.com,555-0184,321 Oak St, Cityplace,2020-02-12,68000
85,Fred Moore,Engineering,Hardware Engineer,fred.moore@example.com,555-0185,789 Cedar St, Townsville,2021-09-15,85000
86,Gary Smith,Marketing,Market Communications,gary.smith@example.com,555-0186,123 Pine St, Villageville,2021-06-30,75000
87,Holly Young,Sales,Sales Enablement,holly.young@example.com,555-0187,456 Fir St, Boroughland,2019-05-02,70000
88,Ian Brown,HR,HR Development,ian.brown@example.com,555-0188,963 Maple St, Cityland,2021-11-09,69000
89,Jenna White,Engineering,Cybersecurity Analyst,jenna.white@example.com,555-0189,321 Oak St, Hamletville,2020-10-15,95000
90,Kyle Jackson,Marketing,Brand Strategist,kyle.jackson@example.com,555-0190,789 Cedar St, Townsville,2021-04-03,74000
91,Liam Clark,Sales,Channel Manager,liam.clark@example.com,555-0191,456 Pine St, Boroughland,2019-12-30,83000
92,Maya Lewis,Engineering,Site Reliability Engineer,maya.lewis@example.com,555-0192,321 Birch St, Cityplace,2021-01-12,90000
93,Nate Wilson,Marketing,Influencer Manager,nate.wilson@example.com,555-0193,987 Oak St, Hamletville,2020-02-18,72000
94,Ola Thompson,Sales,Sales Support Specialist,ola.thompson@example.com,555-0194,159 Cedar St, Townsville,2021-06-20,62000
95,Patricia Hall,HR,Succession Planning,patricia.hall@example.com,555-0195,963 Pine St, Villageville,2021-10-11,70000
96,Quinn Scott,Engineering,IT Consultant,quinn.scott@example.com,555-0196,753 Cedar St, Boroughland,2020-11-01,85000
97,Rita Brooks,Marketing,Email Campaign Manager,rita.brooks@example.com,555-0197,258 Oak St, Cityland,2021-04-21,73000
98,Steve Jones,Sales,Sales Operations Analyst,steve.jones@example.com,555-0198,654 Fir St, Hamletville,2021-01-08,69000
99,Tina Wilson,HR,Learning & Development,tina.wilson@example.com,555-0199,321 Cedar St, Townsville,2020-09-22,65000
100,Ursula Green,Engineering,Mobile Developer,ursula.green@example.com,555-0200,789 Oak St, Cityville,2021-03-17,88000
101,Vincent Moore,Marketing,Creative Strategist,vincet.moore@example.com,555-0201,123 Pine St, Boroughland,2020-08-23,74000
102,Wendy Cooper,Sales,Sales Development Representative,wendy.cooper@example.com,555-0202,456 Cedar St, Villageburg,2021-06-12,68000
103,Xena Reed,HR,Compensation & Benefits,xena.reed@example.com,555-0203,321 Birch St, Cityland,2021-02-15,70000
104,Yusuf Campbell,Engineering,AI Engineer,yusuf.campbell@example.com,555-0204,147 Oak St, Hamletville,2020-05-18,95000
105,Zara Allen,Marketing,Product Marketing Manager,zara.allen@example.com,555-0205,654 Cedar St, Townsville,2021-11-30,78000
106,Adam Garcia,Sales,Senior Sales Consultant,adam.garcia@example.com,555-0206,258 Pine St, Cityplace,2021-09-09,90000
107,Betty Edwards,HR,Recruitment Manager,betty.edwards@example.com,555-0207,789 Cedar St, Boroughland,2021-06-01,74000
108,Charlie Morris,Engineering,Security Analyst,charlie.morris@example.com,555-0208,321 Fir St, Villageburg,2020-10-28,85000
109,Diana Foster,Marketing,Product Designer,diana.foster@example.com,555-0209,963 Pine St, Cityland,2021-01-17,70000
110,Eric Sanders,Sales,Sales Executive,eric.sanders@example.com,555-0210,456 Oak St, Townsville,2021-05-20,83000
```
