UniqueID,Last Name,Middle Initial,First Name,Gender,Department,Hire Date,Termination Date,Annual Salary
69,Teixeira,C,Lia,Female,HR,17/04/2019,,57000
70,Freitas,D,Renan,Male,Sales,12/05/2022,,62000
71,Santos,E,Camila,Female,Finance,14/02/2021,,67000
72,Martins,F,Leonardo,Male,Marketing,19/07/2019,,63000
73,Silva,G,Sofia,Female,IT,30/03/2021,,71000
74,Barbosa,H,Júlio,Male,HR,05/08/2018,,55000
75,Moreira,I,Lara,Female,Sales,11/06/2022,,62000
76,Cunha,J,Rafael,Male,Finance,17/09/2020,,68000
77,Nascimento,K,Bruna,Female,Marketing,20/04/2021,,65000
78,Campos,L,Felipe,Male,IT,14/02/2020,,70000
79,Pereira,M,Juliana,Female,HR,11/05/2022,,57000
80,Martins,N,Nicolas,Male,Sales,12/03/2019,,62000
81,Alves,O,Isabella,Female,Finance,22/09/2022,,69000
82,Teixeira,P,Aidan,Male,Marketing,04/10/2021,,68000
83,Ribeiro,Q,Renato,Male,IT,30/12/2020,,72000
84,Souza,R,Daniela,Female,HR,01/01/2020,,58000
85,Santos,S,Arthur,Male,Sales,09/01/2021,,60000
86,Oliveira,T,Sofia,Female,Finance,29/05/2022,,67000
87,Freitas,U,Diego,Male,Marketing,12/11/2020,,64000
88,Cunha,V,Karine,Female,IT,11/08/2021,,70000
89,Lima,W,Emilly,Female,HR,30/12/2019,,58000
90,Teixeira,X,Felipe,Male,Sales,22/11/2019,,62000
91,Santos,Y,Maria,Female,Finance,18/04/2020,,68000
92,Ribeiro,Z,Leonardo,Male,Marketing,10/02/2021,,63000
93,Martins,A,Aline,Female,IT,01/11/2021,,71000
94,Pereira,B,Gustavo,Male,HR,19/05/2018,,55000
95,Campos,C,Thais,Female,Sales,20/12/2021,,60000
96,Lima,D,João,Male,Finance,10/06/2020,,67000
97,Souza,E,Juliana,Female,Marketing,30/07/2021,,64000
98,Nascimento,F,Mateus,Male,IT,14/08/2019,,70000
99,Freitas,G,Natalia,Female,HR,15/12/2021,,57000
100,Teixeira,H,Pedro,Male,Sales,05/10/2020,,62000
101,Alves,I,Ana,Female,Finance,09/01/2022,,68000
102,Cunha,J,Miguel,Male,Marketing,14/11/2019,,65000
103,Martins,K,Evelyn,Female,IT,01/05/2021,,72000
104,Lima,L,Leonardo,Male,HR,30/12/2020,,58000
105,Ribeiro,M,Juliana,Female,Sales,09/12/2021,,60000
106,Freitas,N,Renan,Male,Finance,29/04/2020,,65000
107,Souza,O,Beatriz,Female,Marketing,01/01/2021,,64000
108,Campos,P,Felipe,Male,IT,20/09/2021,,71000
109,Ribeiro,Q,Ana,Female,HR,02/10/2021,,58000
110,Santos,R,Diego,Male,Sales,04/10/2022,,62000
111,Lima,S,Matheus,Male,Finance,22/12/2020,,68000
112,Teixeira,T,Aline,Female,Marketing,15/05/2021,,65000
113,Cunha,U,Miguel,Male,IT,01/06/2022,,72000
114,Ribeiro,V,Ana,Female,HR,05/04/2018,,55000
115,Freitas,W,Lia,Female,Sales,11/09/2021,,64000
116,Almeida,X,Pedro,Male,Finance,20/11/2020,,69000
117,Souza,Y,Gustavo,Male,Marketing,28/02/2021,,67000
118,Lima,Z,Lara,Female,IT,05/07/2020,,70000
119,Campos,A,Emilly,Female,HR,12/10/2021,,58000
120,Ribeiro,B,Lucas,Male,Sales,15/03/2022,,60000
121,Alves,C,João,Male,Finance,29/04/2020,,65000
122,Santos,D,Rafaela,Female,Marketing,01/02/2021,,64000
123,Teixeira,E,Nicolas,Male,IT,14/12/2021,,70000
124,Cunha,F,Camila,Female,HR,18/09/2019,,57000
125,Ribeiro,G,Arthur,Male,Sales,22/11/2022,,62000
126,Martins,H,Sofia,Female,Finance,05/04/2021,,69000
127,Lima,I,Tiago,Male,Marketing,30/08/2020,,68000
128,Souza,J,Juliana,Female,IT,12/12/2021,,72000
129,Teixeira,K,Luan,Male,HR,02/11/2018,,55000
130,Campos,L,Aline,Female,Sales,11/06/2020,,60000
131,Almeida,M,Mateus,Male,Finance,20/02/2021,,67000
132,Ribeiro,N,Ana,Female,Marketing,22/01/2022,,64000
133,Santos,O,Felipe,Male,IT,19/03/2019,,70000
134,Martins,P,Maria,Female,HR,30/08/2021,,57000
135,Cunha,Q,Bruno,Male,Sales,15/04/2020,,62000
136,Ribeiro,R,Natalia,Female,Finance,11/02/2022,,69000
137,Lima,S,Renan,Male,Marketing,30/12/2020,,68000
138,Teixeira,T,Juliana,Female,IT,15/07/2022,,72000
139,Souza,U,Isabela,Female,HR,05/11/2019,,55000
140,Almeida,V,Diego,Male,Sales,30/10/2020,01/03/2023,60000
141,Campos,W,Lia,Female,Finance,10/02/2021,,67000
142,Ribeiro,X,Ari,Male,Marketing,12/09/2022,,64000
143,Freitas,Y,Camila,Female,IT,30/06/2021,,70000
144,Lima,Z,Felipe,Male,HR,01/01/2020,,58000
145,Souza,A,Juliana,Female,Sales,15/12/2019,,60000
146,Cunha,B,Rafael,Male,Finance,22/02/2021,,68000
147,Teixeira,C,Karine,Female,Marketing,30/08/2021,,67000
148,Ribeiro,D,Lucas,Male,IT,05/03/2022,,72000
149,Martins,E,Ana,Female,HR,12/12/2019,,55000
150,Souza,F,Caio,Male,Sales,30/06/2022,01/03/2023,60000
