HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,FileName,Input_File_Name,Output_File_Name
22/01/2017,1,False,30,Stewart,AC,Emily,female,Quality Assurance Lead,IT,22/01/2017,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/04/2020,1,False,47,Young,AT,Nina,female,Customer Success Manager,Customer Support,21/04/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/01/2019,1,False,69,Ramirez,BP,Lucas,male,Operations Director,Operations,19/01/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/11/2020,1,False,80,Ramirez,CA,Liam,male,HR Business Partner,Human Resources,12/11/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/03/2017,1,False,62,Jackson,BI,Sarah,female,Project Coordinator,Operations,21/03/2017,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/06/2021,1,False,78,Martinez,BY,Emily,female,IT Project Coordinator,IT,21/06/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
10/04/2022,1,False,91,Phillips,CL,Megan,female,Human Resources Consultant,Human Resources,10/04/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/09/2022,1,False,5,NA,NA,Chris,other,Marketing Coordinator,Marketing,19/09/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
02/03/2021,1,False,58,Roberts,BE,Ethan,male,Financial Consultant,Finance,02/03/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
23/05/2021,1,False,103,Hernandez,CX,Ava,female,Technical Support,IT,23/05/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/08/2021,1,False,107,White,DB,Chris,other,Product Developer,Product,22/08/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
16/09/2023,1,False,53,Thomas,AZ,David,male,Corporate Trainer,Training,16/09/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
29/04/2017,1,False,7,Taylor,F,Michael,male,Sales Representative,Sales,29/04/2017,25/01/2023,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
28/03/2016,1,False,37,Gray,AJ,Nathan,male,Network Administrator,IT,28/03/2016,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
25/08/2023,1,False,31,Sanchez,AD,Brian,male,Product Manager,Product,25/08/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
09/11/2019,1,False,57,Garcia,BD,Oliver,male,Sales Consultant,Sales,09/11/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
11/12/2018,1,False,60,Thompson,BG,Aiden,male,Product Analyst,Product,11/12/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/01/2020,1,False,8,Anderson,G,NA,male,Business Analyst,Strategy,15/01/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/01/2020,1,False,84,Bailey,CE,James,male,Market Development Manager,Marketing,22/01/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
25/04/2022,1,False,71,Walker,BR,Jack,male,HR Generalist,Human Resources,25/04/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
03/04/2023,1,False,77,Garcia,BX,Ethan,male,Senior Analyst,IT,03/04/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
17/07/2019,1,False,36,Peterson,AI,Karen,female,HR Manager,Human Resources,17/07/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/05/2019,1,False,52,Brown,AY,NA,male,Data Architect,IT,12/05/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
14/09/2020,1,False,24,Phillips,W,James,male,Customer Support Specialist,Customer Support,14/09/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
02/11/2018,1,False,11,Lopez,J,Alice,female,Research Scientist,R&D,02/11/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
28/08/2017,1,False,55,Adams,BB,Bobby,male,Content Manager,Marketing,28/08/2017,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/11/2021,1,False,50,Wright,AW,Chris,other,SEO Specialist,Marketing,15/11/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
27/05/2019,1,False,83,Evans,CD,Naomi,female,Legal Assistant,Legal,27/05/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
13/01/2021,1,False,100,Scott,CU,Oliver,male,Customer Care Specialist,Customer Support,13/01/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
02/04/2022,1,False,22,Roberts,U,Angela,female,Account Manager,Finance,02/04/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/08/2022,1,False,79,Nguyen,BZ,NA,male,Chief Financial Officer,Finance,19/08/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
14/03/2023,1,False,105,Moore,CZ,NA,male,Research Scientist,R&D,14/03/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
05/01/2018,1,False,17,Wright,P,Sarah,female,Content Writer,Marketing,05/01/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
19/03/2020,1,False,89,Hughes,CJ,Sophia,female,Client Relations Manager,Customer Support,19/03/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
18/03/2019,1,False,46,Allen,AS,Jacob,male,IT Project Manager,IT,18/03/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
26/06/2018,1,False,49,King,AV,Emily,female,Data Analyst,Finance,26/06/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/03/2018,1,False,82,Parker,CC,Nathan,male,Software Development Lead,IT,15/03/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/08/2017,1,False,73,Hall,BT,Michael,male,Digital Designer,Design,22/08/2017,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
03/04/2021,1,False,54,Green,BA,Samantha,female,Software Architect,IT,03/04/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/12/2021,1,False,6,Wilson,E,Sophia,female,Graphic Designer,Design,12/12/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
20/03/2019,1,False,96,Garcia,CQ,Karen,female,Marketing Director,Marketing,20/03/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/06/2018,1,False,65,Martin,BL,James,male,Social Media Manager,Marketing,22/06/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
01/03/2023,1,False,72,Lee,BS,MA,female,Sales Operations Analyst,Sales,01/03/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
11/12/2021,1,False,45,Hall,AR,NA,male,Graphic Artist,Design,11/12/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
23/11/2020,1,False,3,Brown,C,Alex,male,Data Analyst,Finance,23/11/2020,10/08/2023,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
14/06/2018,1,False,34,Reed,AG,Mark,male,Marketing Analyst,Marketing,14/06/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
17/12/2018,1,False,70,Robinson,BQ,Layla,female,Business Analyst,Finance,17/12/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
18/11/2022,1,False,108,Ramirez,DC,Megan,female,Corporate Trainer,Training,18/11/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
11/03/2020,1,False,19,Adams,R,NA,male,Supply Chain Specialist,Supply Chain,11/03/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
05/03/2020,1,False,28,Edwards,AA,Nancy,female,Marketing Manager,Marketing,05/03/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
04/12/2019,1,False,33,Rogers,AF,Lisa,female,Training Coordinator,Human Resources,04/12/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
13/10/2022,2,True,32,Morris,AE,NA,male,Warehouse Manager,Supply Chain,13/10/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
13/10/2022,2,True,85,Cooper,CF,Mia,female,Logistics Coordinator,Supply Chain,13/10/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
30/05/2021,1,False,23,Turner,V,Chris,other,Digital Marketing Specialist,Marketing,30/05/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
25/01/2020,1,False,63,White,BJ,Tyler,male,Technical Writer,IT,25/01/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
30/09/2022,1,False,38,James,AK,Laura,female,Sales Executive,Sales,30/09/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
04/09/2023,1,False,66,Lee,BM,Emma,female,IT Security Specialist,IT,04/09/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/05/2023,1,False,97,Young,CR,Aiden,male,Data Scientist,IT,22/05/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
28/12/2021,1,False,26,Parker,Y,Megan,female,UI/UX Designer,Design,28/12/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
11/11/2020,1,False,40,Washington,AM,Mary,female,Finance Director,Finance,11/11/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
11/07/2020,1,False,98,Hall,CS,NA,male,Finance Associate,Finance,11/07/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
25/01/2022,1,False,88,Morris,CI,NA,male,Data Quality Manager,IT,25/01/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/01/2023,1,False,39,Hughes,AL,Peter,male,Data Engineer,IT,21/01/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
07/05/2020,1,False,44,Lewis,AQ,Sarah,female,Administrative Assistant,Administration,07/05/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
30/03/2021,1,False,9,Thomas,H,Jessica,female,Customer Service Rep,Customer Support,30/03/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
16/11/2015,1,False,21,Mitchell,T,Paul,male,Software Tester,IT,16/11/2015,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
30/10/2021,1,False,67,Harris,BN,Joshua,male,Software Developer,IT,30/10/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/08/2018,1,False,42,Clark,AO,Anna,female,Research Analyst,R&D,12/08/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/06/2022,1,False,27,Evans,Z,David,male,Data Scientist,IT,15/06/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
12/04/2020,1,False,109,King,DD,Benjamin,male,Sales Associate,Sales,12/04/2020,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
05/10/2018,1,False,110,Thompson,DE,Nora,female,Financial Officer,Finance,05/10/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
05/12/2022,1,False,99,King,CT,Samantha,female,Sales Consultant,Sales,05/12/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
25/04/2019,1,False,13,Nguyen,L,Tina,female,Product Owner,Product,25/04/2019,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
24/10/2022,1,False,51,Scott,AX,Alice,female,Marketing Strategist,Marketing,24/10/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/02/2023,2,True,61,Moore,BH,NA,male,Compliance Officer,Legal,15/02/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
15/02/2023,2,True,93,Mitchell,CN,Liam,male,Supply Chain Analyst,Supply Chain,15/02/2023,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
22/07/2022,1,False,56,Mitchell,BC,Nora,female,Graphic Designer,Design,22/07/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
21/08/2016,1,False,10,Martinez,I,David,male,Web Developer,IT,21/08/2016,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
24/07/2016,1,False,20,Scott,S,Emily,female,Sales Analyst,Sales,24/07/2016,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
16/09/2022,1,False,95,Roberts,CP,Jacob,male,Corporate Lawyer,Legal,16/09/2022,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
28/08/2021,1,False,92,Campbell,CM,NA,male,IT Security Analyst,IT,28/08/2021,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
09/08/2018,1,False,101,Lee,CV,Lily,female,IT Analyst,IT,09/08/2018,NA,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data17.csv,output_data17.csv,questions_data17
